meet,stroke,gender,distance,event_type,world_record_time,american_record_time,us_open_record_time,field_size,seed_mean,seed_median,seed_std,seed_cv,seed_skewness,seed_kurtosis,seed_iqr,seed_iqr_ratio,seed_5th_to_1st_ratio,seed_3rd_to_1st_ratio,max_gap,avg_gap,gap_1st_2nd,max_gap_position,hhi_seed_times,top_seed_vs_world_record,top_seed_world_record_pct,swimmers_within_2pct_world,swimmers_within_3pct_world,swimmers_within_5pct_world,top_seed_vs_american_record,top_seed_american_record_pct,swimmers_within_2pct_american,swimmers_within_3pct_american,swimmers_within_5pct_american,top_seed_vs_us_open_record,top_seed_us_open_record_pct,swimmers_within_2pct_us_open,swimmers_within_3pct_us_open,swimmers_within_5pct_us_open,swimmers_within_5pct_top_seed,swimmers_within_10pct_top_seed,swimmers_within_15pct_top_seed,pressure_index,dark_horse_potential,competitive_bandwidth,competitive_bandwidth_pct,avg_age,top_seed_age,age_range,world_record_holder_competing,american_record_holder_competing,us_open_record_holder_competing,record_holders_count,top_seed_holds_record,winner_vs_world_record,winner_vs_american_record,winner_vs_us_open_record,top_seed_won,meet_avg_field_size,meet_avg_competitiveness,meet_avg_pressure,meet_total_record_holders,distance_category,stroke_category
2021 Speedo Summer Championships   West   Meet Results,Butterfly,Women,200,Women_Butterfly_200,,124.14,125.85,26,138.88538461538462,138.845,3.6096273308273292,0.025989972528955962,1.3378845696021353,3.6790786447742176,3.8400000000000034,0.02765673952969141,1.0269820875217293,1.018819439195828,7.680000000000007,0.7696000000000004,1.8400000000000034,25,0.03848598299779405,,,0,0,0,-8.170000000000002,-0.06581279200902208,0,0,0,-6.460000000000008,-0.05133094954310694,0,0,0,13,25,26,0.013906734184868895,0.02037829317721236,3.920000000000016,0.029627390219938144,17.23076923076923,17,5,False,False,False,0,False,,6.070000000000007,4.360000000000014,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,fly
2021 Speedo Summer Championships   West   Meet Results,Butterfly,Men,200,Men_Butterfly_200,110.72999999999999,111.50999999999999,112.2,32,124.859375,124.50999999999999,3.0462168519944544,0.024397181645306604,0.30583139920071567,1.1060336583470516,2.032499999999999,0.016323990040960558,1.041925862803579,1.0277801448657862,2.3200000000000074,0.5029032258064517,2.3200000000000074,1,0.031268425049485904,-6.6200000000000045,-0.059785062765284974,0,0,0,-5.840000000000003,-0.05237198457537444,0,0,0,-5.1499999999999915,-0.04590017825311935,0,0,1,6,29,32,0.019769919045590178,0.03230388434168706,2.1099999999999994,0.017980400511291007,17.34375,22,7,False,False,False,0,False,3.980000000000018,3.200000000000017,2.510000000000005,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,fly
2021 Speedo Summer Championships   West   Meet Results,Freestyle,Women,100,Women_Freestyle_100,51.71,52.04,52.54,30,57.650999999999996,57.7,0.6533317176850769,0.01133253053173539,0.054847032772217315,-0.7961284862687021,0.8374999999999986,0.014514731369150755,1.009939652112176,1.0067447639332623,0.3499999999999943,0.08551724137931024,0.3499999999999943,1,0.03333761087355694,-4.630000000000003,-0.08953780700058021,0,0,0,-4.300000000000004,-0.08262874711760193,0,0,0,-3.8000000000000043,-0.07232584697373438,0,0,0,30,30,30,0.006212282570109945,0.00760859948686189,0.8399999999999963,0.014909478168264044,17.266666666666666,14,8,False,False,False,0,False,4.109999999999999,3.780000000000001,3.280000000000001,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,sprint,free
2021 Speedo Summer Championships   West   Meet Results,Freestyle,Men,100,Men_Freestyle_100,46.91,46.96,,30,51.08433333333333,51.209999999999994,0.6384809228856325,0.012498566218324585,-0.47871886438553446,-0.9306030940106327,1.042500000000004,0.020357352079672018,1.0076213397513036,1.0024067388688327,0.39000000000000057,0.0772413793103449,0.10999999999999943,8,0.03333860542960308,-2.950000000000003,-0.06288637817096575,0,0,0,-2.8999999999999986,-0.06175468483816011,0,0,0,,,0,0,0,30,30,30,0.0022061772964299927,0.006544458913486287,1.1799999999999997,0.023666265543521855,18.8,26,13,False,False,False,0,False,2.5500000000000043,2.5,,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,sprint,free
2021 Speedo Summer Championships   West   Meet Results,Freestyle,Women,200,Women_Freestyle_200,112.97999999999999,113.61,114.4,24,125.15249999999999,124.555,2.334297271128937,0.018651623188741234,1.3007626130682066,2.273398147435885,3.0024999999999977,0.024105816707478606,1.0133037694013305,1.0103473762010349,4.010000000000019,0.475652173913044,0.2600000000000051,23,0.041680518862178495,-8.790000000000006,-0.07780138077535853,0,0,0,-8.159999999999997,-0.07182466332189065,0,0,0,-7.36999999999999,-0.06442307692307683,0,0,0,22,24,24,0.002135172866880226,0.012482909488651855,3.0900000000000034,0.0253757083025376,17.041666666666668,17,9,False,False,False,0,False,5.160000000000011,4.530000000000001,3.739999999999995,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,free
2021 Speedo Summer Championships   West   Meet Results,Freestyle,Men,200,Men_Freestyle_200,102.0,102.96000000000001,104.1,32,112.87281250000001,113.44,1.5421357640764792,0.013662597129636325,-0.5088045723978118,-1.2288905758737048,3.0674999999999812,0.02704072637517614,1.0052626803375373,1.0008166228109971,0.9899999999999949,0.14774193548387046,0.06999999999999318,9,0.031255916994520336,-8.210000000000008,-0.08049019607843146,0,0,0,-7.25,-0.07041569541569541,0,0,0,-6.110000000000014,-0.0586935638808839,0,0,0,32,32,32,0.0006351510752199725,0.004338821110556582,3.089999999999989,0.028037383177569992,18.1875,22,6,False,False,False,0,False,5.829999999999998,4.86999999999999,3.730000000000004,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,free
2021 Speedo Summer Championships   West   Meet Results,Breaststroke,Women,200,Women_Breaststroke_200,138.95,139.59,140.38,32,156.39125,157.16,2.7562358276279624,0.017623977221410802,-0.6869673430078475,-0.26825285209513217,4.127499999999998,0.02626304403156018,1.028487164019036,1.0197064146390509,1.8400000000000034,0.35741935483871007,1.8400000000000034,1,0.031259957821470216,-10.240000000000009,-0.07369557394746319,0,0,0,-9.599999999999994,-0.06877283473028149,0,0,0,-8.810000000000002,-0.06275822766775896,0,0,0,15,32,32,0.012333266304712135,0.021861745830834972,4.179999999999978,0.028017963670487155,17.3125,20,9,False,False,False,0,False,9.280000000000001,8.639999999999986,7.849999999999994,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,breast
2021 Speedo Summer Championships   West   Meet Results,Breaststroke,Men,200,Men_Breaststroke_200,126.12,127.17,127.17,30,139.35566666666668,139.865,2.581115628732832,0.018521784513483474,-1.0971994246313514,0.9136624808077478,3.137500000000017,0.02243234547599483,1.0358417495633685,1.0338674159009795,2.390000000000015,0.36862068965517236,2.069999999999993,2,0.033345269797288926,-5.569999999999993,-0.044164287979701816,0,0,1,-4.519999999999996,-0.035542973971848676,0,0,1,-4.519999999999996,-0.035542973971848676,0,0,1,8,30,30,0.015718733389019617,0.032046210836943534,3.219999999999999,0.02445136304958614,17.866666666666667,20,7,False,False,False,0,False,5.490000000000009,4.440000000000012,4.440000000000012,True,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,breast
2021 Speedo Summer Championships   West   Meet Results,Backstroke,Women,200,Women_Backstroke_200,123.35,123.35,125.68,32,139.78375,139.865,2.7925903633544253,0.019977932795152694,-0.5480770406618743,0.7991948128826669,2.2350000000000136,0.015979694705609077,1.039092627599244,1.0267674858223061,2.569999999999993,0.4051612903225807,0.9699999999999989,2,0.031262789195292295,-8.900000000000006,-0.0721524118362384,0,0,0,-8.900000000000006,-0.0721524118362384,0,0,0,-6.569999999999993,-0.05227562062380644,0,0,0,10,32,32,0.0073345935727788195,0.03581070051857688,2.8100000000000023,0.021247637051039714,16.9375,14,9,False,False,False,0,False,6.219999999999999,6.219999999999999,3.8899999999999864,False,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,back
2021 Speedo Summer Championships   West   Meet Results,Backstroke,Men,200,Men_Backstroke_200,111.92,111.92,113.08,30,127.73833333333332,127.545,2.744083433295879,0.021482066985602438,-0.09398442782234652,-0.4248484324911379,3.867500000000007,0.030322631228194025,1.0223203335786117,1.0044967705011856,1.75,0.3724137931034487,0.18999999999999773,3,0.03334881191077112,-10.39,-0.09283416726233024,0,0,0,-10.39,-0.09283416726233024,0,0,0,-9.230000000000004,-0.08162362928899898,0,0,0,19,30,30,0.0015534298095004311,0.020696322317988083,4.040000000000006,0.033030823317799086,17.066666666666666,18,7,False,False,False,0,False,10.39,10.39,9.230000000000004,False,28.666666666666668,0.03562663550121622,0.008909687240492126,0,short,back
